Entrant Name	Eligible for Ranking	Bad Revenge	Ievan Polkka	BUBBLES	Speed King	Big Boss	Zen	Birdie	Joanna	Way To Rio	Definition of a Badboy
ValeskaRose	TRUE	85684	89247	83713	60733	36298	65948	22543	25378	9811	35598
MeGoesMoo	TRUE	99376	99846	99613	99806	99673	99107	99118	96056	98759	99454
NabiChou	TRUE	99539	99884	98842	98757	99177	99287	99627	97345	98897	98485
Pyrona	TRUE	99874	99730	98164	99349	97171	98233	97840	95410	96522	82908
Cassindia1987	TRUE	97206	94733	97767	97445	95853	97156	93889	95956	93313	94028
madewithlinux	TRUE	99000	97847	96977	98728	96654	95658	96791	93605	96135	96324
Plasticky	TRUE	99424	99351	99346	99122	97907	98015	98245	97119	97898	97548
ceri	TRUE	96547	80767	93879	91516	79300	90937	82742	87369	89353	81460
Aleree	TRUE	95168	97003	95598	91748	92261	91987	90322	74532	88801	93135
Stayflyangel	TRUE	99496	99692	99130	99238	96143	92193	95995	93317	94815	91449
Allucivox	TRUE	93034	90131	87251	90016	83874	75034	82826	79858	0	36083
Hamaon	FALSE	99789	0	0	0	98116	0	98211	0	0	0
mxl100	FALSE	0	0	0	0	0	0	0	0	99556	0
Shpadoinkle	FALSE	0	0	0	0	0	0	0	0	100000	0
ZephyrNoBar	FALSE	99790	100000	99743	99703	99608	99486	99443	98963	99455	98553
rinrin	FALSE	0	0	0	0	0	0	98324	0	0	0
abbeycat	FALSE	0	0	0	0	0	0	0	0	99626	0
Lenni	FALSE	0	0	99828	99950	99762	0	99765	0	0	0
Thaya	FALSE	0	0	99039	0	0	0	0	0	0	0
JTOX	FALSE	99460	99653	99828	98542	98614	98060	98973	98196	99076	98065