Player Name	Eligible for Ranking	Moonlight	Big Boss	Get Lifted	Crazyloop	The Bass & the Melody	Music is Moving	Hero of the Night	Mothership	BLEEP BLOOP	Arsene's Bazaar
CTEMI	TRUE	99525	98885	98822	98057	98579	99022	97686	98865	90925	35240
Hamaon	TRUE	99462	99579	99500	99384	99124	99026	99627	99664	95539	93039
mxl100	TRUE	99798	99829	98726	99505	99177	99087	99850	99334	96214	89153
Shpadoinkle	TRUE	99942	100000	98878	100000	99852	99903	99944	99761	98437	98413
MeGoesMoo	TRUE	95563	97951	91681	97636	93144	91909	93779	92868	70212	38115
Shinobee	TRUE	99742	99640	0	0	0	0	0	0	0	0
Cassindia1987	TRUE	94291	94701	0	0	0	0	85818	91311	0	0
madewithlinux	TRUE	91631	92191	90632	78154	87264	0	0	0	0	0
Plasticky	TRUE	0	91508	0	0	0	0	0	0	0	0
ZephyrNoBar	TRUE	99349	98971	99102	98723	97611	96282	97354	97629	93006	88094
rinrin	TRUE	99741	99561	97752	99446	98879	99181	99503	99283	96635	96054
abbeycat	TRUE	99717	99828	99043	99880	99456	99454	99627	99853	98079	98037
Lenni	TRUE	99856	99914	99528	99125	99132	98696	99157	99190	94508	89903
freyja	TRUE	99011	98773	97337	99294	95841	97129	98433	97363	92431	90543
Thaya	TRUE	98865	99527	98370	98428	97837	94564	98445	97264	94991	94210
EMCAT	TRUE	99832	99914	99564	99960	99898	99718	99909	99957	99427	98298
Aleree	TRUE	0	0	69949	0	0	0	0	0	0	0
JTOX	TRUE	98191	94602	94423	0	0	0	0	0	0	0
Lazy	TRUE	95866	91428	94285	93498	91243	92974	89618	92175	91433	79348